100,110,120,130,140,150,160,170,180,200,250,260,300,350,360,40,400,410,50,500,510,60,600,70,700,710,900,month,por,value0,value1,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value2,value20,value3,value4,value5,value6,value7,value8,value9,y0,y1,y2,y3,y4,y5,y6,y7,year,Н1.0,Н1.1,Н1.2,Н10.1,Н12,Н2,Н3,Н4,Н7,Н9.1
871395359.0,27526266.0,272400121.0,7747322.0,47894492.0,59328.0,912914.0,8543489.0,32995294.0,100507095.0,2506322.0,6808283.0,372809038.0,4767205.0,8447803.0,473316133.0,54764986.0,29171630.0,15256086.0,361311941.0,59365742.0,54764986.0,268773946.0,55701142.0,35520823.0,35000000.0,13315792.0,9,57,4987.0,100.1,2168,25.7,3.8,5.2,24284.2,5980.0,8.3,1252.0,751.0,8353.8,101.9,32.5669,70.9,29.7,41.2,11.5,-3.7,2.4,1848.7,0,0,0,0,0,0,0,0,2012,12.19,12.19,12.19,0.19,7.69,54.4,88.37,93.66,167.23,0.0
778753259.0,26913623.0,172551172.0,7747322.0,53052315.0,59328.0,912891.0,8513190.0,35530869.0,102337159.0,2534197.0,6782391.0,371135390.0,5014688.0,8926002.0,473472549.0,54782265.0,28586691.0,15708393.0,344603548.0,57110650.0,54782265.0,170454588.0,60858965.0,35525083.0,35000000.0,15077017.0,10,58,5367.43333333,100.6,2234,26.0,3.8,5.2,24437.8,5969.2,8.3,1216.8,910.1,9384.5,104.8,31.2538,71.2,29.9,41.2,11.3,0.5,-0.5,1849.6,0,0,0,0,0,0,0,0,2012,12.81,12.81,12.81,0.2,7.56,74.58,72.89,94.09,163.55,0.0
808958535.0,29107546.0,178168635.0,7747322.0,52818775.0,59328.0,912927.0,8474952.0,35551089.0,106137380.0,2702547.0,6881728.0,389980581.0,5411209.0,8346522.0,496117961.0,55467775.0,29238605.0,15228250.0,336223258.0,60003524.0,55467775.0,193846602.0,60625425.0,45530255.0,45000000.0,16604761.0,11,59,5367.43333333,100.5,2290,26.8,3.9,5.3,24444.8,5931.3,8.3,1236.0,1010.3,10455.4,98.4,31.3743,70.5,27.4,43.1,15.7,2.6,0.0,1904.5,0,0,0,0,0,0,0,0,2012,13.65,13.65,13.65,0.18,6.95,49.84,61.85,97.69,163.12,0.0
830703742.0,30295930.0,194873817.0,7747322.0,52037586.0,59328.0,912891.0,8791751.0,38136460.0,108937487.0,2796399.0,6828898.0,388911170.0,6988965.0,8142837.0,497848657.0,56151491.0,29558139.0,14971735.0,366214467.0,63836027.0,56151491.0,181243653.0,59844236.0,40004878.0,39470212.0,17258941.0,12,60,5367.43333333,100.3,2348,27.4,3.9,5.4,24741.0,5975.4,8.3,1260.0,1087.8,11406.8,98.8,30.811,78.7,32.2,46.5,14.4,2.1,7.4,1900.3,0,0,0,0,0,0,0,0,2012,13.64,13.64,13.64,0.18,6.92,69.94,73.06,100.51,160.63,0.0
886111726.0,50222114.0,229390708.0,7747322.0,56400946.0,59328.0,912893.0,8809781.0,40193947.0,111509913.0,2793205.0,6683611.0,380864774.0,5707167.0,8219996.0,492374687.0,60023190.0,32421179.0,14903607.0,386924661.0,53268524.0,60023190.0,178619507.0,64207596.0,40060598.0,39520212.0,18802763.0,1,61,5593.46666667,100.5,1560,36.5,3.8,5.3,27164.6,6430.1,8.3,1257.7,307.2,12858.3,98.9,30.4215,75.9,30.6,45.3,14.7,32.1,39.5,2295.4,0,0,0,0,0,0,0,0,2013,13.25,13.25,13.25,0.17,6.89,85.76,84.55,95.1,149.74,0.0
744457903.0,35715141.0,100508125.0,7747322.0,56655166.0,59328.0,912913.0,10511638.0,35545498.0,112522175.0,3153161.0,6775124.0,384280597.0,6788857.0,8718152.0,496802772.0,57720304.0,29795452.0,15493276.0,295136936.0,64076312.0,57720304.0,173773041.0,64461816.0,39560618.0,39520212.0,-90621.0,2,62,5593.46666667,101.0,2296,26.8,4.5,6.0,26348.7,6078.9,8.3,1168.4,-52.6,1091.2,99.6,30.0161,80.1,31.9,48.3,16.4,-27.3,-50.6,1710.7,0,0,0,0,0,0,0,0,2013,12.53,12.53,12.53,0.18,7.01,56.25,67.97,89.22,141.89,0.0
800735164.0,38850169.0,141587311.0,7747322.0,54856094.0,59328.0,912880.0,10461611.0,35645789.0,114566206.0,3182752.0,6824940.0,396048454.0,6371538.0,8007614.0,510614660.0,59632389.0,30701107.0,14832554.0,334563692.0,60892501.0,59632389.0,162564771.0,62662744.0,59560596.0,59520212.0,1697699.0,3,63,5593.46666667,100.6,2404,26.6,4.3,5.8,26768.4,6140.9,8.3,1188.4,-192.7,1980.1,100.8,30.5124,60.6,21.7,38.8,17.1,-1.0,33.0,1690.3,0,0,0,0,0,0,0,0,2013,13.28,13.28,13.28,0.17,6.67,103.6,86.54,82.87,147.78,0.0
777744489.0,64060767.0,100751691.0,7747322.0,44191310.0,0.0,912853.0,10388506.0,36244020.0,116706684.0,3469845.0,6858609.0,396741336.0,7332195.0,7801965.0,513448020.0,61245463.0,31842391.0,14660574.0,323144590.0,61153635.0,61245463.0,124692230.0,51938632.0,59560530.0,59520212.0,2423310.0,4,64,4679.8,100.3,2568,28.7,4.3,5.7,27198.6,6181.4,8.3,1150.9,-20.6,3100.8,100.5,31.1093,68.3,26.5,41.9,15.4,7.5,2.8,1840.3,0,0,0,0,0,0,0,0,2013,13.35,13.35,13.35,0.17,6.66,116.69,89.65,79.28,147.86,0.0
814184970.0,47546690.0,149005876.0,7747322.0,37577426.0,0.0,912935.0,10326613.0,35120215.0,119310895.0,3663328.0,6877188.0,406636998.0,7006738.0,7954462.0,525947893.0,64362521.0,33218502.0,14831650.0,354667454.0,71011018.0,64362521.0,140698111.0,45324748.0,68938180.0,59520212.0,3252102.0,5,65,4679.8,100.5,2517,30.0,4.2,5.6,27377.1,6353.5,8.3,1366.5,-65.0,4223.4,98.8,31.0433,72.8,28.4,44.5,16.1,4.2,7.0,1850.3,0,0,0,0,0,0,0,0,2013,13.42,13.42,13.42,0.16,6.66,123.12,94.03,81.58,123.71,0.0
812419179.0,36389436.0,161448825.0,7747322.0,40999918.0,0.0,912944.0,10297156.0,33080806.0,120814252.0,3905470.0,6960237.0,400728520.0,7597530.0,8045253.0,521542772.0,63825840.0,32964726.0,15005490.0,359194083.0,75188594.0,63825840.0,144235441.0,48747240.0,69038442.0,59520212.0,4283921.0,6,66,4679.8,101.2,2295,29.7,3.9,5.2,27593.4,6348.8,8.3,1376.8,271.3,5114.6,99.0,31.7979,74.3,29.8,44.5,14.6,-1.6,-13.3,1902.3,0,0,0,0,0,0,0,0,2013,13.67,13.67,13.67,0.17,6.6,140.78,88.51,79.04,118.98,0.0
796821583.0,29492700.0,141161551.0,7581603.0,46129523.0,0.0,913076.0,10244664.0,36765212.0,123168099.0,3989123.0,7262414.0,401365155.0,7477115.0,9071543.0,524533254.0,66253348.0,34904106.0,16333957.0,331340820.0,73015333.0,66253348.0,134884898.0,53711126.0,69426450.0,59520212.0,5081581.0,7,67,5043.66666667,100.4,2537,31.0,4.1,5.4,28212.3,6470.3,8.3,1431.1,482.8,6256.5,100.4,32.8517,67.3,26.4,41.0,14.6,3.9,15.1,1940.2,0,0,0,0,0,0,0,0,2013,14.14,14.14,14.14,0.16,6.39,60.49,83.01,75.32,121.7,0.0
824359297.0,22699136.0,160588711.0,7581603.0,49736947.0,0.0,913130.0,10204600.0,42594746.0,125507153.0,4238715.0,7344880.0,404533271.0,7105331.0,9500672.0,530040424.0,66518542.0,34676059.0,16845552.0,331601511.0,74542993.0,66518542.0,166326273.0,57318550.0,69431005.0,59520212.0,6842372.0,8,68,5043.66666667,100.8,2526,30.2,4.0,5.3,28443.9,6480.1,8.3,1432.9,438.0,7329.0,102.0,33.033,70.1,28.2,41.8,13.6,-3.2,-4.9,1991.2,0,0,0,0,0,0,0,0,2013,13.1,13.1,13.1,0.17,6.6,83.44,79.86,73.2,144.44,0.0
811946579.0,22903821.0,141982403.0,7581603.0,50216435.0,0.0,67164.0,10214796.0,35908007.0,128317701.0,4400057.0,7540903.0,414754649.0,7839515.0,9680094.0,543072350.0,66715420.0,34229695.0,17220997.0,319242586.0,67779641.0,66715420.0,150526219.0,57798038.0,59548646.0,59520212.0,10508446.0,9,69,5043.66666667,100.1,2679,29.2,4.0,5.2,28499.9,6509.8,5.5,1397.2,636.2,8417.2,102.8,33.2522,74.0,30.3,43.7,13.5,-3.2,2.1,2041.1,0,0,0,0,0,0,0,0,2013,14.13,14.13,14.13,0.15,6.07,84.14,85.3,77.23,104.03,0.0
813566227.0,31878712.0,140142480.0,7581603.0,49515731.0,0.0,67133.0,10144919.0,36287940.0,131332751.0,4533583.0,7511511.0,406614958.0,6680113.0,9288098.0,537947709.0,66352026.0,33259386.0,16799609.0,309029869.0,67376896.0,66352026.0,157638076.0,57097334.0,44753245.0,44725091.0,12367578.0,10,70,5429.86666667,100.2,3169,29.3,4.0,5.3,28352.6,6414.4,5.5,1358.7,891.6,9603.6,101.4,32.4839,70.9,28.4,42.5,14.2,0.2,-3.8,2019.7,0,0,0,0,0,0,0,0,2013,14.13,14.13,14.13,0.15,5.98,79.67,73.28,83.97,108.0,0.0
791869516.0,24857955.0,125663854.0,7581603.0,47757677.0,0.0,67162.0,10177176.0,35083873.0,135496794.0,4717223.0,7525860.0,405183422.0,6597909.0,9059235.0,540680216.0,66862993.0,33581830.0,16585095.0,275840065.0,72221918.0,66862993.0,174906390.0,55339280.0,44754009.0,44725591.0,13600854.0,11,71,5429.86666667,100.6,2999,30.1,4.1,5.5,28276.4,6419.0,5.5,1453.2,930.2,10739.8,98.8,32.0758,73.5,28.7,44.8,16.1,1.9,4.8,2083.1,0,0,0,0,0,0,0,0,2013,14.55,14.55,14.55,0.15,5.92,62.62,73.35,83.07,96.08,0.0
860744791.0,26354252.0,192184475.0,4708.0,51692042.0,0.0,67228.0,10160721.0,37581056.0,138591985.0,4741656.0,7729919.0,404108324.0,6295866.0,10992098.0,542700309.0,68512497.0,35380448.0,18722017.0,359323085.0,70797067.0,68512497.0,153025240.0,51696750.0,54725591.0,54725591.0,18704822.0,12,72,5429.86666667,100.6,2893,30.3,4.1,5.4,28873.3,6564.1,5.5,1468.4,928.7,11758.2,98.5,33.1482,74.1,30.7,43.5,12.8,0.8,4.0,2099.5,0,0,0,0,0,0,0,0,2013,14.53,14.53,14.53,0.15,0.0,160.88,97.27,82.77,102.25,0.0
926606774.0,59625645.0,218119048.0,4708.0,67761062.0,0.0,67226.0,10190044.0,40052513.0,143020471.0,4790146.0,7745443.0,387766057.0,5102444.0,9317926.0,530786528.0,73011858.0,36459351.0,17063369.0,399500401.0,62319989.0,73011858.0,152365589.0,67765770.0,49725592.0,49725592.0,19402868.0,1,73,5709.63333333,100.5,1949,39.6,4.2,5.6,31155.6,6985.6,5.5,1476.7,49.8,13019.8,101.0,32.6587,76.6,29.8,46.8,17.0,30.2,40.8,2517.2,0,0,0,0,0,0,0,0,2014,14.51,14.51,14.51,0.18,0.0,74.62,87.6,75.98,110.93,0.0
883049714.0,44749164.0,174109973.0,4708.0,70515703.0,0.0,67446.0,10673845.0,44981500.0,144238265.0,5193987.0,8088946.0,393709110.0,6330992.0,9629855.0,537947375.0,73453697.0,37704833.0,17718801.0,323132490.0,67443246.0,73453697.0,188103155.0,70520411.0,49725592.0,49725592.0,2215293.0,2,74,5709.63333333,100.6,2487,29.5,4.2,5.6,29861.2,6663.1,5.5,1469.6,489.6,1324.4,100.4,35.18,82.0,32.5,49.5,17.0,-25.7,-52.4,1867.1,0,0,0,0,0,0,0,0,2014,14.13,11.65,11.65,0.17,0.0,57.37,96.74,73.72,111.9,0.0
883166179.0,45543353.0,163943907.0,4708.0,76214872.0,0.0,1230934.0,10593689.0,44885317.0,147356742.0,5137628.0,8259152.0,393392657.0,7060228.0,10559301.0,540749399.0,75388402.0,40243289.0,18818453.0,326001135.0,69910001.0,75388402.0,171551157.0,76219580.0,49725592.0,49725592.0,3940040.0,3,75,5709.63333333,100.7,2665,29.3,4.2,5.6,30169.0,6699.9,7.0,1429.2,107.2,2368.1,99.6,36.1847,60.6,21.0,39.6,18.6,-1.6,32.8,1871.3,0,0,0,0,0,0,0,0,2014,13.91,12.3,12.3,0.17,0.19,66.1,100.62,71.64,110.28,0.0
893189352.0,39830733.0,169907181.0,4708.0,71203785.0,0.0,1230849.0,10509743.0,43003290.0,150527597.0,5326837.0,8170710.0,406971466.0,6501836.0,9500616.0,557499063.0,74848955.0,39360197.0,17671326.0,353306214.0,77034253.0,74848955.0,147561376.0,71208493.0,49731592.0,49731592.0,5391807.0,4,76,4708.6,101.0,2569,31.5,4.0,5.4,29519.3,6608.2,7.5,1438.4,242.9,3520.8,102.3,35.6053,60.5,24.1,36.4,12.3,6.9,-3.5,2054.5,0,0,0,0,0,0,0,0,2014,13.74,12.11,12.12,0.17,0.19,108.36,104.0,72.84,98.21,0.0
